State,SA3 code 2016,SA3_name_2016,EstResidentPop_30_June_2016,Remoteness,SES_quintile,Prescriptions,Crude_rate_per_100000,Agesex_standardised_rate_per_100000,Decile_agesex_standardised_rate
Vic,21305,Wyndham,233138,Major Cities,Quintile 3,108424,46506,60091,6
NSW,11703,Sydney Inner City,230326,Major Cities,Quintile 5,68819,29879,38165,9
Vic,20904,Whittlesea - Wallan,224581,Major Cities,Quintile 1,119005,52990,56842,7
WA,50502,Stirling,201306,Major Cities,Quintile 5,108846,54070,48528,8
Vic,21204,Dandenong,197453,Major Cities,Quintile 1,103485,52410,49492,8
Vic,21301,Brimbank,196858,Major Cities,Quintile 1,102656,52147,52070,7
WA,50503,Wanneroo,194987,Major Cities,Quintile 4,97974,50247,57294,6
NSW,12702,Fairfield,193076,Major Cities,Quintile 1,79823,41343,39953,9
Vic,20302,Geelong,192393,Major Cities,Quintile 1,167154,86881,76856,3
Qld,31802,Townsville,192113,Outer Regional,Quintile 2,145619,75798,79645,2
Vic,21205,Monash,184848,Major Cities,Quintile 4,74076,40074,33617,10
NSW,11901,Bankstown,178409,Major Cities,Quintile 1,85200,47756,46042,8
Vic,20701,Boroondara,177361,Major Cities,Quintile 5,64896,36590,30927,10
Vic,21203,Casey - South,176002,Major Cities,Quintile 2,101284,57547,69397,4
NSW,10201,Gosford,173257,Major Cities,Quintile 4,134662,77724,61924,6
SA,40304,Onkaparinga,170376,Major Cities,Quintile 2,158348,92941,83660,2
NSW,11103,Newcastle,169571,Major Cities,Quintile 2,102976,60728,53722,7
Vic,21005,Tullamarine - Broadmeadows,169296,Major Cities,Quintile 1,94870,56038,64416,5
NSW,12302,Campbelltown (NSW),162845,Major Cities,Quintile 2,100601,61777,65879,5
NSW,10202,Wyong,162052,Major Cities,Quintile 2,155201,95772,80354,2
WA,50501,Joondalup,161288,Major Cities,Quintile 5,84549,52421,50561,7
Vic,21402,Mornington Peninsula,160862,Major Cities,Quintile 5,135314,84118,67186,5
Vic,21101,Knox,160712,Major Cities,Quintile 4,96299,59920,54400,7
Vic,21304,Melton - Bacchus Marsh,160293,Major Cities,Quintile 3,97952,61108,71913,4
NSW,12003,Strathfield - Burwood - Ashfield,159133,Major Cities,Quintile 3,46057,28942,27356,10
NSW,12203,Warringah,157846,Major Cities,Quintile 5,59881,37936,32017,10
NSW,12503,Merrylands - Guildford,157512,Major Cities,Quintile 1,67695,42977,44282,8
Vic,20802,Glen Eira,157014,Major Cities,Quintile 4,66746,42510,37523,9
Vic,21105,Yarra Ranges,154495,Major Cities,Quintile 4,102757,66512,62546,6
Qld,31701,Toowoomba,153201,Inner Regional,Quintile 2,128388,83804,76835,3
NSW,11802,Eastern Suburbs - South,149266,Major Cities,Quintile 5,55028,36866,35506,9
NSW,11501,Baulkham Hills,148761,Major Cities,Quintile 5,51201,34418,31812,10
Vic,20604,Melbourne City,148041,Major Cities,Quintile 5,32495,21950,34400,10
NSW,12504,Parramatta,146708,Major Cities,Quintile 3,48780,33250,35023,10
NSW,11904,Kogarah - Rockdale,145493,Major Cities,Quintile 3,59178,40674,37111,9
NSW,12403,Penrith,143452,Major Cities,Quintile 3,85097,59321,62979,5
NSW,11902,Canterbury,141819,Major Cities,Quintile 1,54018,38089,37445,9
NSW,12602,Ryde - Hunters Hill,140873,Major Cities,Quintile 5,47124,33451,28727,10
SA,40204,Salisbury,139529,Major Cities,Quintile 1,113963,81677,80833,2
Vic,21401,Frankston,139511,Major Cities,Quintile 2,117128,83956,77664,3
NSW,11601,Blacktown,139391,Major Cities,Quintile 2,65105,46707,48087,8
Vic,21202,Casey - North,137519,Major Cities,Quintile 3,82302,59847,60198,6
NSW,11801,Eastern Suburbs - North,136152,Major Cities,Quintile 5,46544,34185,30813,10
NSW,10704,Wollongong,133292,Major Cities,Quintile 2,86597,64968,56992,6
WA,50403,Swan,133029,Major Cities,Quintile 3,72417,54437,61551,6
NSW,11903,Hurstville,132733,Major Cities,Quintile 3,51414,38735,33616,10
WA,50705,Rockingham,129308,Major Cities,Quintile 3,87024,67300,70138,4
Vic,20901,Banyule,127693,Major Cities,Quintile 5,72971,57146,48807,8
Qld,30907,Ormeau - Oxenford,125111,Major Cities,Quintile 4,77730,62129,69950,4
NSW,11101,Lake Macquarie - East,123536,Major Cities,Quintile 4,85916,69548,57786,6
NSW,12103,Ku-ring-gai,123474,Major Cities,Quintile 5,38689,31334,24259,10
Vic,20803,Kingston,122522,Major Cities,Quintile 4,70969,57923,49424,8
NSW,12703,Liverpool,122238,Major Cities,Quintile 1,52912,43286,46423,8
WA,50604,Gosnells,122128,Major Cities,Quintile 2,74038,60623,64493,5
