State,SA3_code,SA3_name,Population,Remoteness,SES_quintile,Prescriptions,PrescriptionRate,Median_income,Mortality_rate,Mortality_rate_ratio,Median_age_at_death
WA,51103,Goldfields,40317,Outer Regional,Quintile 1,22566,55971,62874,367.2,1.11,70
WA,50703,Kwinana,40305,Major Cities,Quintile 1,26965,66902,53264,422.2,1.03,71
WA,50601,Armadale,82280,Major Cities,Quintile 1,56674,68880,52800,456.4,0.99,77
SA,40602,Outback - North and East,27369,Outer Regional,Quintile 1,19278,70436,51202,684.5,1.29,75
NT,70204,East Arnhem,14802,Remote,Quintile 1,1321,8923,50379,527.5,.,53
NSW,12703,Liverpool,122238,Major Cities,Quintile 1,52912,43286,49678,500.8,1.04,77
NSW,10602,Maitland,76134,Major Cities,Quintile 1,48023,63077,49665,648.9,1.1,79
Qld,30803,Rockhampton,118644,Inner Regional,Quintile 1,93255,78600,49079,716,1.08,79
Qld,31004,Springfield - Redbank,87095,Major Cities,Quintile 1,46369,53240,48672,284,0.96,67
Qld,31003,Ipswich Inner,107320,Major Cities,Quintile 1,98540,91819,47959,685.9,1.2,80
NSW,10604,Upper Hunter,30877,Inner Regional,Quintile 1,22726,73602,47550,698.4,1.08,82
NSW,12701,Bringelly - Green Valley,106378,Major Cities,Quintile 1,44311,41655,47502,364.3,0.94,74
NSW,10304,Orange,58991,Inner Regional,Quintile 1,40837,69226,46569,767.8,1.09,81
WA,51104,Mid West,55127,Outer Regional,Quintile 1,41658,75566,46557,673.6,1.12,77
Qld,31105,Loganlea - Carbrook,62016,Major Cities,Quintile 1,46379,74785,46522,611.5,1.16,80
NSW,10301,Bathurst,47783,Inner Regional,Quintile 1,35894,75120,46418,709.6,1.04,80
NSW,10701,Dapto - Port Kembla,77934,Major Cities,Quintile 1,68285,87619,46342,932.8,1.16,80
NT,70205,Katherine,20847,Remote,Quintile 1,3469,16640,46284,556.8,1.59,59
NSW,11603,Mount Druitt,115220,Major Cities,Quintile 1,61337,53234,46268,531.4,1.31,75
NSW,10601,Lower Hunter,89621,Inner Regional,Quintile 1,77038,85960,46219,799.9,1.26,80
Vic,20904,Whittlesea - Wallan,224581,Major Cities,Quintile 1,119005,52990,45975,444.3,0.97,80
SA,40402,Port Adelaide - West,59256,Major Cities,Quintile 1,49099,82859,45970,953.8,1.24,81
